1814	I'm thirsty.	3407372	Ímapuze.
63957	Is your mother at home?	2422759	Nihúŋ thiyáta yaŋka kta he.
254819	I saw it with my own eyes.	2424257	Lé miištá uŋ waŋbláke.
349064	I don't know.	2780835	Slolwayá šni.
1052358	Winter is coming.	2424254	Waníyetu ú.
2002543	The girl is pretty.	3407404	Wičhíŋčala kiŋ wašté.
2002544	The room is dark.	3407391	Thimáothi kiŋ kpáza.
2011435	Nobody wants a war.	2781172	Tuwéni okíčhize ciŋ šni.
2163151	The book is on the table.	2424255	Wówapi kiŋ wáglutapi akáŋl ȟpáye.
2248165	I'm not old.	2780719	Wakan šni.
2412863	The chairs are under the tree.	2423577	Oákaŋke kiŋ čháŋ kiŋ khúta hétu.
2412872	The apple is on the table.	2422756	Tȟaspáŋ kiŋ wáglutapi akáŋl yaŋké.
2422751	I want ice cream.	2422753	Čhaȟsníyaŋ etáŋ wáte wačhíŋ kta.
2423572	The glass is empty.	2423573	Žaŋžáŋla kiŋ tákuni él úŋ šni.
2780839	I speak Lakota.	2780840	Lakȟótiyapi wówaglake.
2780847	I want the book.	2780849	Wówapi kiŋ wačhíŋ.
1523604	I have a white cat.	2781149	Igmú ská waŋ bluhá.
3314386	I'm reading a book.	3407366	Wówapi wayáwahan.
3410116	The eagle is white.	3410117	Waŋblí kiŋ ská.
1102982	I am.	4680292	Wauŋ.
477086	Yes.	4680305	Hau.
477086	Yes.	4680306	Haŋ.
