Chunestudy feels at home as CHC curator - ᏣᎳᎩ,Chunestudy feels at home as CHC curator
"ᎠᏭ ᎤᏂᏴᏍᏗ, ᎣᎦᎳᎰᎹ.","PARK HILL, Okla."
ᏍᎪᎯ ᏧᏕᏘᏴᏓ ᏂᎨᏐ ᎩᎳ ᎢᏤᎢ ᏗᎦᏘᏱ ᎤᏂᎧᏁᎢ ᏣᎳᎩᎯ ᏧᎾᏓᎴᏅ ᎠᏰᎵ ᎣᏍᏓᏃ ᎠᎦᏔᎯ ᏄᏍᏗᏓᏅ ᎥᎿ ᎠᎴ ᏧᏟᎢᎩᏍᏓᏅᎯ ᏧᎸᏫᏍᏓᏁᎸᎢ ᎨᏒᎢ.,"After more than a decade, the Cherokee Heritage Center has a new curator; one who is familiar with the center after having worked at it before."
"Callie Chunestudy, 34, ᏅᏓᏕᏆ.","Callie Chunestudy, 34, took over the position on Nov."
9ᏁᎢ ᎤᎴᏅᎮ ᏚᎸᏫᏍᏓᏁᎲᎢ ᎤᏑᎵᎪᏣ Mickel Yantz ᏗᎦᏘᏱ ᎨᏒ Sherwin Miller ᎤᏪᏘ ᎠᏍᏆᏂᎪᏛ Jewish Arts Tulsa ᏭᎴᏅᎮ ᏚᎩᏫᏍᏓᏁᎲᎢ.,9 after former CHC Curator Mickel Yantz accepted a job with the Sherwin Miller Museum of Jewish Art in Tulsa.
ᎤᏴᏢᎧᎸᎬ ᏍᎦᏚᎩ ᏩᎦᎸᎳᏗᏴ ᏧᎾᏕᎶᏆᏍᏗᏱ ᏧᏍᏆᏛ Chunestudy ᎣᎯᏍᏗ ᏗᏟᎶᏍᏙᏗ ᏧᎾᏕᎶᏆᏍᏗ.,Chunestudy is a graduate of Northeastern State University with a bachelor’s degree in fine arts.
"“ᏓᎳᏚ ᏳᏕᏘᏴᏓ ᏥᎨᏒ ᎤᎴᏅᎮ ᏚᎸᏫᏍᏓᏁᎲ (ᏣᎳᎩᎯ ᎠᏰᎵ) summer youth (ᏗᎨᏥᎾᏢᏗ ᎤᏙᏢᏒ) ᎠᎴ ᏁᎳᏚ ᏳᏕᏘᏴᏓ ᏥᎨᏒ ᎦᏓᎫᎦ ᏧᏃᏢᏗ ᏚᎸᏫᏍᏓᏁᎸᎢ,” ᎠᏗᏍᎬᎢ.","“The Heritage Center has always held a big place in my heart. It’s where I worked at 16 on (Cherokee Nation) Summer Youth (Employment Program) and at 18 for the pottery division back when that was going on,” she said."
"ᎾᎯᏳᏃ ᎪᎨᏱ ᏗᎾᏛᏍᎩ ᏧᏂᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ, ᏥᏚᏂᎸᏫᏍᏓᏁᎲᎢ ᏴᏫ ᎠᏂᎷᎬ Adam’s Corner, CHC ᏕᎧᏃᎯᏎᎲ ᏂᏧᎵᏍᏓᏅᏒ ᎠᎴ ᏄᏍᏛ ᏣᏁᎮ ᎾᎯᏳ ᎠᏂᏣᎳᎩ 1890s ᏧᏕᏘᏴᏌᏗᏒ ᎠᏂ ᏍᎦᏚᎩ ᏂᎦᎵᏍᏗᏍᎬᎾ ᏥᎨᏒ ᎣᎦᎳᎰᎹ.","Through the Summer Youth Employment Program, Chunestudy said she gave tours in Adam’s Corner, the CHC’s rural village that depicts Cherokee life in the 1890s before Oklahoma statehood."
ᎾᏊ ᏗᎦᏘᏱ ᏥᏄᎵᏍᏔᏅ ᎤᏠᏱᏊ ᎢᏳᏍᏗ ᏥᏍᏓᏩᏗᏎᏍᏗ Mickel ᏚᎸᏫᏍᏓᏁᎸᎢ ᎠᏗᏍᎨᎢ Chunestudy. ᏔᎵ ᏧᏕᏘᏴᏓ ᏚᎸᏫᏍᏓᏁᎴ Summer Youth Program ᏧᏪᏘ ᏗᎪᏪᎳᏅ ᏗᏍᏆᏂᎪᏙᏗ ᎠᎴ ᏗᎪᏪᎵᏍᎩ ᎨᏎ Chunestudy.,"Chunestudy added that she also worked in the museum archives department and as a secretary under the same employment program, giving her a total of two years experience at CHC before her current position. As for her curator job, she said in many ways she wants to follow her predecessor’s path."
"ᏌᏚ ᏧᏕᏘᏴᏛ ᏚᎸᏫᏍᏓᏁᎸ ᎨᏌ Mickel, ᎣᏍᏛ ᏄᏛᏁᎴ ᎣᎯᏍᏗ ᏧᎾᏟᎶᏍᏔᏅ ᎬᏂᎨᏒ ᏂᏕᎬᏁᎲ ᎠᎴ ᎠᎾᏛᏁᎵᏍᎬ ᎠᎭᏂ ᏣᎳᎩᎯ ᏧᎾᏓᎴᏅ ᎠᏰᎵ ᎠᏆᏚᎵ ᎪᎱᏍᏗ ᎢᏤ ᎠᎴ ᏧᏓᎴᏅᏓ ᏧᎾᏟᎶᏍᏔᏅ ᎠᎴ ᎤᎾᏛᏁᎸᏗ ᎠᎩᏲᎯᏍᏗ ᎠᎭᏂ ᏣᎳᎩᎯ ᏧᎾᏓᎴᏅ ᎠᏰᎵ, ᎾᏞᎬᏊ ᎯᎸᏍᎩ ᏧᏓᎴᏅᏓ ᎠᎾᏛᏁᎵᏍᎬ ᎠᎪᏩᏛᏗ ᎨᏎᏍᏗ.","“Mickel was here 11 years, so I have big shoes to fill. He left a legacy of great shows and exhibits that he put together for the Heritage Center,” she said. “My hope is to continue that legacy while bringing new eyes and new things to the table."
ᎾᏊ ᎨᏒᎢ “ᏧᎦᎶᎩ ᎠᏂᏬᏂᏍᎩ ᏗᏟᎶᏍᏔᏅ ᏂᏓᏳᏓᎴᏅᎩ ᏣᎳᎩ ᏗᎪᏪᎶᏗ ᏧᏃᏴᎦ ᎧᏃᎮᏍᎩ” ᎤᏃᎸᏔᏂ 15 ᎤᏓᎴᏅᎮ ᎧᏬᏂ 12 ᎢᎪᎯᏛ ᎠᎪᏩᏛᏗ ᎨᏎᏍᏗ 2016 Trail of Tears ᏧᎾᏟᎶᏍᏔᏅ ᎾᎯᏳ ᏗᎪᏩᏛᏗ ᎨᏎᏍᏗ.,"We have some really great shows coming up, including our current exhibit, ‘Talking Leaves to Pixels: The History of the Cherokee Syllabary,’ which runs from Jan. 15 until April 2.” Chunestudy said she is also looking forward to the 2016 Trail of Tears Art Show, which follows the syllabary exhibit."
"“ᎩᎳ ᎢᎬᏱ ᎨᏒ ᏣᎳᎩ ᏧᎾᏟᎶᏍᏔᏅ ᎤᏂᎾᏗᏅᏗ ᏙᎦᎵᎪᏎᏍᏗ ᏧᎾᏓᎴᏅᏓ ᎠᏰᎵ ᎠᏍᏆᎵᏍᎨᏍᏗ ᎠᎾᏛᏍᎩ ᏧᎾᏟᎶᏍᏔᏅ ᎠᎾᏓᎪᏅᏗᏍᎬ, ᎣᏍᏓᏃ ᎠᎩᏰᎸᏐᎢ  ᏅᏍᎩ ᏥᏂᎦᎵᏍᏗᏌᎭ,” ᎠᏗᏍᎬᎢ.","“It will be the first time I’m completely in charge of an art show and competition, so I’m very excited about that,” she said."
"“ᎠᎴ ᎢᎬᏱᎢ, ᏓᏲᏣᎵᏲᏂ ᏣᎳᎩ Art Market ᎠᎴᎾᏍᏊ ᏓᏲᎩᏍᏆᎸᎡᎵ ᏗᎾᏛᏍᎩ ᏗᎾᏟᎶᏍᏔᏅᎲᏍᎩ ᎠᎾᏓᎪᏅᏗᏍᎩ.","“And for the first time, we’re going to partner with Cherokee Art Market and also hold their youth art show and competition."
