3610765	ibo	Ana m ele anya ya.
5327630	ibo	Mbe enweghị ezé.
6464872	ibo	Tom Kedu.
6789583	ibo	I wepuru ahihia ahu?
6789584	ibo	Gwagodi Tomu ka-obata n'ime?
6789585	ibo	I nwere Ike Igwa Tomu ka-obata n'ime?
6789586	ibo	I na-akwado Iga ebe ahu?
6789587	ibo	Tomu na Mari akpara Ihe ahu?
6789589	ibo	Enwere m ike ibiri gi diksonari a?
6789591	ibo	Ihuru mgbe Tomu bara n'me ugbo ala ahu?
6789592	ibo	Enwerem ike iju gi ajuju ozo?
6789594	ibo	Mu na ndi be Tomu ahubeghi.
6789595	ibo	Akam ahubeghi ndi be Tomu.
6789596	ibo	Amam na Tomu na-aruru Meri Oru.
6789597	ibo	Ikwukwara Ihe meru?
6789598	ibo	Amam na Tomu choro igwa m okwu.
6789599	ibo	Amam na Tomu choro ka mu na ya kpa.
6789601	ibo	Amam na Tomu choro ka mu na ya kwo.
6789602	ibo	I tinyere ihe na-asa efere ka obido.
6789605	ibo	Mu na Tomu enwere Ike ikwu maka ihea?
6789607	ibo	Obu n'imaburo maka ihea?
8853382	ibo	Gịnị?
8853383	ibo	Ndo...
8853384	ibo	Biko.
8853385	ibo	Ndewo!
8853386	ibo	Kwụsị!
8853387	ibo	Daalụ!
8853388	ibo	Mba.
8853389	ibo	Ee.
8853390	ibo	Ka emesịa!
8853391	ibo	Kedụ?
8853394	ibo	Bịa!
10473298	ibo	A chọbụrụ m ịchete.
10799965	ibo	Amara ihe nke ukwu na agaghịm eme ihe dị otua
11497845	ibo	Ị̀ na-asụ Bekee?
13282294	ibo	Kedu onye nọ ebe ahụ?
13282300	ibo	Ihe kasị enye nsogbu bụ nrụrụ aka nke ndị kasị mma.
13282301	ibo	O nwere mmetụta dịpụrụ adịpụ site na nke e bu n'obi.
13282303	ibo	Welie olu gị.
13282307	ibo	N'ihi ya, ọ ga-amụta ihe niile na anyị nwere ike izute obere oge.
13282314	ibo	Anyị ghọrọ enyi mgbe m nọ na Taiwan.
13282316	ibo	Sami ahụbeghị Layla ruo mgbe ebighị ebi.
13282317	ibo	Biko nyefee m mkpịsị akwụkwọ ahụ.
13282319	ibo	Ee! Kedu aha gị?
13288582	ibo	Gịnị ka njakịrị a pụtara?
13293476	ibo	Idem ama enyek enye tutu enye efehe ọkpọn̄ ukot.
