1860	I don't want to go to school.	3084079	ʻAʻole au makemake e hele i ke kula.
56528	This egg is fresh.	3084112	Maka kēia hua.
59419	This dog is big.	3083770	Nui kēia ʻīlio.
259326	I want to go to college.	3084146	Makemake au e hele i ke kulanui.
280122	I'm confused.	3084127	Huikau au.
378543	I want to go to Kyoto.	3084149	Makemake au e hele i Kioko.
397588	I'm an engineer.	3154615	He wilikī au.
441382	This dog is white.	3083772	Keʻokeʻo kēia ʻīlio.
498452	I want to go to Australia with my family.	3084167	Makemake au e hele i ʻAukekulelia me koʻu ʻohana.
567368	I'm a student.	3083785	He haumāna au.
1369181	I'm not hungry.	3155219	ʻAʻole au pōloli.
1866935	The bread is not fresh.	3083405	ʻAʻole maka ka palaoa.
2068388	I am a cat.	3083426	He pōpoki au.
2145963	I am a married man.	3083415	He kāne mea wahine au.
2247573	I will go.	3154909	E hele au.
2248180	I'm not smart.	3085027	ʻAʻole au akamai.
2297306	I am a human being.	3083416	He kanaka au.
2332108	I'm not a teacher.	3084115	ʻAʻole au he kumu.
2363944	I am a girl.	3083413	He kaikamahine au.
2412739	I have two cats.	3081441	ʻElua aʻu pōpoki.
2412748	The bread is fresh.	3083402	Maka ka palaoa.
2504046	The girl is beautiful.	3154481	Nani ke kaikamahine.
2548628	This corn is fresh.	3084113	Maka kēia kūlina.
1194034	I'm not a doctor.	3084120	ʻAʻole au he kauka.
2712260	This house will exist.	3399053	E kū kēia hale.
740214	I am a woman.	3083409	He wahine au.
2912832	This cat is very fat.	3083777	Momona loa kēia pōpoki.
2657766	I will come.	3154780	E hele mai au.
3083787	This is a green apple.	3083789	He ʻāpala ʻōmaʻomaʻo kēia.
3083797	This is a school.	3083798	He kula kēia.
3083897	She's a student.	3084063	He haumāna ʻo ia.
3083996	You're eating.	3084055	Ke ʻai nei ʻoe.
3084066	This is an apple.	3084069	He ʻāpala kēia.
3084103	This is a pear.	3084104	He pea kēia.
3084753	This book is green.	3084754	ʻŌmaʻomaʻo kēia puke.
3084757	The apple is not green.	3084758	ʻAʻole ʻōmaʻomaʻo ka ʻāpala.
