22588	I'm glad to see you.	9852595	Cehēcvkat vnhēres.
9867513	I'm Seminole.	9845534	Semvnolvlket owiēs
9867514	It sounds like a dog is barking.	9845564	Efvt wohkvcoks.
687610	Where do you all live?	9867515	Estvmi'n vpokackv?
687610	Where do you all live?	9867516	Estvmimvn vpokacket omv?
687610	Where do you all live?	9867517	'Stvn vpokaccv?
687610	Where do you all live?	9867518	Estvmin cemvpoketvt te?
16781	Once you begin, you must continue.	9867860	Vlicēcet ohmeckof, a̜yē mahvccvs.
16781	Once you begin, you must continue.	9867875	Vlicēhceckof a̜yē mahvs.
773399	We will come together.	9868461	Etepakēt vpēyvrēs.
8527727	She's an accountant, isn't she?	9868464	Nakcokv-eskērkueckvt os, mvt onko?
3535822	Aren't you afraid of catching a virus?	9868467	Enokkē cenhecketv tat cepenkvlēcet onko?
961161	I want to know your opinion.	9868468	Cemvkerrickv kerretv cvyacēt os.
961161	I want to know your opinion.	9868469	Nake vkerriceckan kerretv cvyacēt os.
4600312	Stop gossiping.	9868475	Este opunayecekot.
5387866	They won't be happy about that.	9868476	Mvt emafvckvkekot omvrēs.
5852970	They don't sell these kinds of things anymore.	9868487	Heyomaten nak momvkat wiyvkekot os.
8179230	He can come later.	9868488	Vcewekon vtēt tayvrēs.
4401053	I slept all day.	9868489	Nettv ayen nohcis
5261833	Tom intends to do that.	9868492	Tom mvn omēcetv tat eyacēt os.
5261833	Tom intends to do that.	9868493	Tom mvn mēcetv komet os.
5506303	He tortured a prisoner.	9868500	Este esvlvfkē enokkicemvts.
1020291	No, I can't speak English.	9868501	Monkos wvcenv emopunvkvn opunayako tayēs cē.
7375864	Mary is a baseball player, isn't she?	9868502	Mary tat pokko-nvfv em pokkēccet, mvt onko?
1461964	I have to go to the bathroom.	9869779	Cukoce vyetv cvyacēs.
1461964	I have to go to the bathroom.	9869780	Ra-vyetv cvyacēs.
4124283	In the Aymara culture, respecting one's parents is fundamental.	9869866	Aymalvlke enfulletvn eckvlke vrakkuecet omvccvs.
1876041	Thank you.	9869870	Mvto.
6259612	Tom didn't really have to do that.	9869883	Tom mv tat mēcetv orēn eyacēkvnks.
40834	It only costs $10.00!	9869913	Ervkkvt palen toknawv yomusēt os.
59447	Is it all right to take pictures in this building?	9869926	Yvmv cukofvn nak vhayēt tayv?
8888115	He always does only what is most convenient for him.	9870704	Estofis nake enyekcetv ocekat 'mēcet os.
8791508	What's the weather like this morning?	9870705	Mucv hvthvyvtke tat fettv estonko?
5725318	I have to say I felt very safe in Boston.	9870706	Maketvt omēs cē, Boston tvlofvn omit omat ēhonēckēt omekvnks.
3737951	Did Tom ever tell you why he was late?	9870757	Tom nak-estomen eyopaklatkat cekihcv?
3826708	Don't come here anymore.	9870758	Hvtvm yvmvn atekot.
321546	Did you mention my book?	9870759	Vncokv kihceckv?
3905599	I told him it wasn't mine.	9870761	Vncvnaket omekat kihcis.
