3812934	The bird is in the sky.	3840164	Bineshiinh ishpiming.
373320	How are you?	10720673	Aaniish naa ezhiyaayin?
373330	Hello!	10720674	Aniin!
373330	Hello!	10720675	Bozhoo!
257272	I'm fine.	10720676	Nminoyaa gwa.
10671252	I'm not fine.	10720677	Kaawiin gwa nminoyaasii.
408293	What's your name?	10720678	Wegnesh ezhinkaazyin?
1646	My name is Jack.	10720679	Jack ndizhinikaaz.
370703	Where are you from?	10720703	Aanii piish enjebayin?
2258234	Good morning.	10720717	Mino gigizheb
499689	Good afternoon.	10720718	Mino giizhigad.
333156	Good evening.	10720719	Mino dibikad
2548761	I'll see you again.	10720720	Giga-waabamin menawaa.
360558	See you later!	10720725	Giga-waabamin naagaj.
516745	Goodbye!	10720726	Baamaapii.
20335	Take it easy!	10720727	Wiingezin!
1830543	Let's eat.	10720728	Miijidaa!
477086	Yes.	10720731	Enh.
477061	No.	10720734	Kaa.
477061	No.	10720735	Gawiin.
5852586	Please say that again.	10720737	Ikidon miinawaa.
10720743	Do you speak Ojibwe?	10720744	Gdi-anishnaabem-na?
10720745	Yes, I speak a little Ojibwe.	10720746	Enh, ndi anishnabem bangii eta go.
925040	How much is this?	10720747	Aaniin minik?
393357	Please.	10720748	Daga.
1876041	Thank you.	10720749	Miigwech.
1876041	Thank you.	10720750	Chi-miigwech.
1434	I love you.	10720753	Gi zah gin.
242881	It's hot today.	10720757	Gizhaatemgat nangwaa.
242809	It's cold today.	10720762	Ksinaamgat nangwaa.
1839531	I'm hungry.	10720766	Ninoondezgade.
434242	Are you hungry?	10720770	Ginoondezgade na?
8391501	He's hungry.	10720773	Noondezgade.
8391503	She's hungry.	10720773	Noondezgade.
416367	Where are you going?	10720780	Aaniindi ezhaayin?
434458	Come with me.	10720787	Ambe daga wiijiiwishin.
356200	Who are you?	12607672	Awenen giin?
1813	It's cold.	12607673	Gisinaa.
1894591	It's cold out.	12607673	Gisinaa.
12607675	We respect our elders.	12607674	Nimanaaji aanaanig chiayaa aag.
2187250	Listen closely.	12607676	Weweni bizindan.
2107663	Watch closely.	12607677	Weweni ganawaabin.
3185801	Pay attention.	12607677	Weweni ganawaabin.
2107662	Watch carefully.	12607677	Weweni ganawaabin.
1173265	My name is Tom.	12607684	Niin Tom nindizhinikaaz.
39944	Come here.	12607693	Ondaas.
1173265	My name is Tom.	12607696	Tom nidishinikas.
1674433	I'm good!	12607698	Nimo'aya!
408293	What's your name?	12607703	Aniin eshinikasoyan?
435080	Hello, what's your name?	12607704	Pooshoo. Aniin eshinikasoyan?
2111930	Come inside.	12607706	Biindigen.
10720867	Come inside!	12607707	Biindigen!
13332043	I sing when I cook.	13332036	Ninagam jiibaakweyaan.
13332127	I talk when I eat.	13332126	Nigaagiigid wiisiniyaan.
13332561	I eat when I eat.	13332559	Niwiisin wiisiniyaan.
13333236	I see two deer.	13333211	Niwaabamaag niizh waawaashkeshiwag.
13333238	Do you see that cat?	13333237	Giwaabamaa na a'aw gaazhagens.
13333265	Those wolves can see me.	13333260	Niwaabamigoog igiweg ma'iinganag.
13333435	I know those Englishmen.	13333426	Nigikenimaag igiweg Zhaaganaashag.
13333440	Do you know these Frenchmen?	13333439	Gigikenimaag ina ogoweg Wemitigoozhiwag.
13333456	Look! A buffalo.	13333454	Nashke! Mashkode-bizhiki.
