2	sysko	2009-11-16 14:16:25	2018-08-04 19:58:02	[Chinese]HSK elementary	anyone
6	Sprachprofi	2009-11-28 09:54:54	2018-03-03 11:55:42	Tourist sentences (all languages)	anyone
7	Sprachprofi	2009-11-28 09:55:31	2021-08-22 05:17:10	Beginner sentences (all languages)	anyone
8	Sprachprofi	2009-11-28 09:55:54	2009-12-02 15:44:09	Intermediate sentences (all languages)	anyone
9	Sprachprofi	2009-11-28 09:56:04	2009-12-02 15:44:28	Advanced sentences (all languages)	anyone
10	Sprachprofi	2009-11-28 09:56:38	2009-12-02 15:44:42	Outdated language (all languages)	anyone
11	Sprachprofi	2009-12-02 14:31:22	2024-08-25 04:36:50	Sayings &amp; Idioms (all languages)	anyone
18	zhouj1955	2010-01-05 00:45:13	2016-09-02 19:46:34	difficult	anyone
26	blay_paul	2010-02-18 21:48:05	2010-07-05 18:22:24	Japanese sentences without indices (for Jim)	creator
28	sysko	2010-02-23 15:39:11	2010-02-27 22:44:08	Geek stuff	anyone
34	boracasli	2010-03-22 16:21:35	2010-03-22 16:21:35	translations	creator
37	megamanenm	2010-04-05 16:55:20	2025-11-29 04:15:26	Short sentences (7 or less words)	anyone
38	megamanenm	2010-04-05 16:58:08	2025-11-29 04:15:22	Semi-long sentences (7 to 15 words)	anyone
51	TRANG	2010-04-12 19:43:46	2019-12-08 15:20:49	[TD4] Funny sentences (fra)	creator
52	TRANG	2010-04-12 19:49:04	2019-12-08 15:20:52	[TD4] Funny sentences (eng)	creator
54	Pharamp	2010-04-16 15:53:25	2010-04-16 15:58:23	Feed Pharamp	anyone
58	Pharamp	2010-04-23 23:15:37	2010-04-23 23:15:37	This is me!	creator
61	MUIRIEL	2010-05-07 22:55:24	2010-05-07 22:55:31	maths	anyone
62	MUIRIEL	2010-05-08 16:05:23	2022-12-24 14:58:16	FUN	anyone
73	sysko	2010-05-11 22:43:30	2025-04-21 22:01:37	Dutch List, Language day, 11th may	anyone
83	TRANG	2010-05-13 00:07:11	2011-03-25 20:13:40	[TD4] Other sentences (fra)	creator
86	TRANG	2010-05-16 22:09:13	2016-01-15 06:56:19	All you need is love (a list of romantic, cheesy, lovey-dovey sentences)	creator
91	TRANG	2010-05-22 01:45:06	2011-03-25 20:14:17	[TD4] Other sentences (eng)	creator
93	Sushiman	2010-05-22 14:56:45	2010-05-22 14:56:45	Le temps qu'il fait .	creator
102	lukesh	2010-05-24 10:54:58	2010-05-24 10:54:58	German	creator
108	TRANG	2010-05-30 16:09:20	2011-03-24 22:57:34	[TD4] Inspiring sentences (eng)	creator
113	blay_paul	2010-06-03 03:20:27	2020-04-26 05:42:48	[@moderator] Sentences with wrong reading for kanji	anyone
121	Ramses	2010-06-10 22:56:46	2021-01-17 12:15:14	Spanish for beginners	anyone
123	Ramses	2010-06-11 18:51:18	2010-06-11 18:51:18	German	creator
126	blay_paul	2010-06-13 21:51:20	2022-09-14 13:14:41	Awkward to translate sentences	anyone
131	Scott	2010-06-19 19:11:13	2010-06-20 22:20:15	Jpn sentences to check	anyone
153	WinstonSmith	2010-07-20 16:20:25	2024-05-20 04:02:03	Proverbaro Esperanta	anyone
155	MUIRIEL	2010-07-23 15:43:45	2011-06-09 12:22:53	German sentences in need of correction	creator
157	Espi	2010-07-30 14:57:17	2010-07-30 14:57:17	Figures of speech in German	creator
163	saeb	2010-08-04 14:44:50	2010-08-04 14:54:40	Tatoeba: Future Mottos	anyone
172	sacredceltic	2010-08-21 20:39:59	2016-10-26 13:20:55	A Revoir	creator
