3081441	haw	ʻElua aʻu pōpoki.
3083402	haw	Maka ka palaoa.
3083405	haw	ʻAʻole maka ka palaoa.
3083409	haw	He wahine au.
3083413	haw	He kaikamahine au.
3083415	haw	He kāne mea wahine au.
3083416	haw	He kanaka au.
3083426	haw	He pōpoki au.
3083770	haw	Nui kēia ʻīlio.
3083772	haw	Keʻokeʻo kēia ʻīlio.
3083777	haw	Momona loa kēia pōpoki.
3083785	haw	He haumāna au.
3083789	haw	He ʻāpala ʻōmaʻomaʻo kēia.
3083798	haw	He kula kēia.
3084055	haw	Ke ʻai nei ʻoe.
3084063	haw	He haumāna ʻo ia.
3084069	haw	He ʻāpala kēia.
3084079	haw	ʻAʻole au makemake e hele i ke kula.
3084104	haw	He pea kēia.
3084112	haw	Maka kēia hua.
3084113	haw	Maka kēia kūlina.
3084115	haw	ʻAʻole au he kumu.
3084120	haw	ʻAʻole au he kauka.
3084127	haw	Huikau au.
3084146	haw	Makemake au e hele i ke kulanui.
3084149	haw	Makemake au e hele i Kioko.
3084167	haw	Makemake au e hele i ʻAukekulelia me koʻu ʻohana.
3084754	haw	ʻŌmaʻomaʻo kēia puke.
3084758	haw	ʻAʻole ʻōmaʻomaʻo ka ʻāpala.
3084761	haw	ʻAʻole ʻula kēia ʻāpala.
3084763	haw	He ʻalani kēia.
3085026	haw	Makemake au e aʻo i ka ʻōlelo Hawaiʻi.
3085027	haw	ʻAʻole au akamai.
3085031	haw	Liʻiliʻi ka penikala.
3085036	haw	Loloa ke kaʻa ʻōhua.
3085787	haw	Noho au ma Honolulu.
3085789	haw	ʻImi ʻo ia he hōkele.
3085794	haw	E ʻike ʻoe nā haumāna.
3085799	haw	Ke hele nei au ma he hale kūʻai.
3154476	haw	ʻAʻole ʻoe he wahine.
3154477	haw	ʻAʻole ʻoe he kāne.
3154481	haw	Nani ke kaikamahine.
3154491	haw	He haumāna maikaʻi ʻo ia.
3154586	haw	He noho ʻo ia.
3154590	haw	He manu ʻo ia.
3154598	haw	ʻAʻole keʻokeʻo ka lio.
3154601	haw	He manu ʻo ia?
3154605	haw	He noho ʻo ia?
3154615	haw	He wilikī au.
3154617	haw	He wilikī ʻoe.
3154626	haw	ʻO au ke kumu.
3154780	haw	E hele mai au.
3154909	haw	E hele au.
3154911	haw	I hele au ma ka panakō.
3155219	haw	ʻAʻole au pōloli.
3155244	haw	Hana nā kaikamahine.
