1565471	I look forward to it.	3610765	Ana m ele anya ya.
5308161	Turtles don't have teeth.	5327630	Mbe enweghị ezé.
54604	Hello, Tom.	6464872	Tom Kedu.
6789007	Did you take out the rubbish?	6789583	I wepuru ahihia ahu?
6788710	Can you ask Tom to come inside?	6789584	Gwagodi Tomu ka-obata n'ime?
6788710	Can you ask Tom to come inside?	6789585	I nwere Ike Igwa Tomu ka-obata n'ime?
6788711	Are you planning to go there?	6789586	I na-akwado Iga ebe ahu?
6788712	Did Tom discuss that with Mary?	6789587	Tomu na Mari akpara Ihe ahu?
6788713	Can I borrow this dictionary?	6789589	Enwere m ike ibiri gi diksonari a?
6788714	Did you see Tom get on the bus?	6789591	Ihuru mgbe Tomu bara n'me ugbo ala ahu?
6788715	Could I ask another question?	6789592	Enwerem ike iju gi ajuju ozo?
6788718	I haven't met Tom's family yet.	6789594	Mu na ndi be Tomu ahubeghi.
6788718	I haven't met Tom's family yet.	6789595	Akam ahubeghi ndi be Tomu.
6788720	I know Tom is working for Mary.	6789596	Amam na Tomu na-aruru Meri Oru.
6788721	Did you report what happened?	6789597	Ikwukwara Ihe meru?
6788722	I know Tom wants to talk to me.	6789598	Amam na Tomu choro igwa m okwu.
6788723	I know Tom wants to talk with me.	6789599	Amam na Tomu choro ka mu na ya kpa.
6788723	I know Tom wants to talk with me.	6789601	Amam na Tomu choro ka mu na ya kwo.
6788724	Did you start the dishwasher?	6789602	I tinyere ihe na-asa efere ka obido.
6788725	May I talk about this with Tom?	6789605	Mu na Tomu enwere Ike ikwu maka ihea?
6788727	Didn't you know that already?	6789607	Obu n'imaburo maka ihea?
36088	What?	8853382	Gịnị?
39996	Sorry...	8853383	Ndo...
393357	Please.	8853384	Biko.
373330	Hello!	8853385	Ndewo!
448320	Stop!	8853386	Kwụsị!
448645	Thanks!	8853387	Daalụ!
477061	No.	8853388	Mba.
477086	Yes.	8853389	Ee.
516745	Goodbye!	8853390	Ka emesịa!
538123	Hi.	8853391	Kedụ?
890415	Come!	8853394	Bịa!
2011583	I wanted to remember.	10473298	A chọbụrụ m ịchete.
6706186	I'm smart enough not to do that.	10799965	Amara ihe nke ukwu na agaghịm eme ihe dị otua
378270	Do you speak English?	11497845	Ị̀ na-asụ Bekee?
8197999	Who is the guy there?	13282294	Kedu onye nọ ebe ahụ?
27284	What is most troublesome is the corruption of the best.	13282300	Ihe kasị enye nsogbu bụ nrụrụ aka nke ndị kasị mma.
28201	It had an effect alien from the one intended.	13282301	O nwere mmetụta dịpụrụ adịpụ site na nke e bu n'obi.
30395	Raise your voice.	13282303	Welie olu gị.
3701782	We became friends when I was in Taiwan.	13282314	Anyị ghọrọ enyi mgbe m nọ na Taiwan.
7259861	Sami hasn't seen Layla in forever.	13282316	Sami ahụbeghị Layla ruo mgbe ebighị ebi.
9752116	Please hand that pen to me.	13282317	Biko nyefee m mkpịsị akwụkwọ ahụ.
292518	He was so startled that he ran outside barefoot.	13293476	Idem ama enyek enye tutu enye efehe ọkpọn̄ ukot.
