language_code,language,kl_per_token,tvd_per_token,kl_per_char,tvd_per_char,bits_per_char_target,bits_per_char_draft,n_examples,n_chars
amh,Amharic,0.42950049116591776,0.2956587391451371,0.985044568684447,0.6806854627489338,5.347580550955876,6.238808540986621,242,9973
ber,Berber,1.0002355043888091,0.477235431432724,0.5431388206539697,0.25730927808414056,5.169447359230045,5.400811504468016,4000,142648
chr,Cherokee,0.3024285629035183,0.24607045353884902,0.6223761999357822,0.5213803905400695,5.836677846368359,6.23420697430303,2090,91297
grn,Guarani,1.252876070022583,0.525143128156662,0.5664785702903382,0.2360585148859301,3.608452163005182,4.1172398548488705,2000,185602
haw,Hawaiian,0.8423628060817718,0.4457037479877472,0.4230975438619374,0.219347794883687,5.115865116251512,5.159687712933519,4000,43323
ibo,Igbo,1.154580930709839,0.5024928439855576,0.5461558415290654,0.2336821955103617,2.909591245790745,3.3794307616574635,4000,336118
npi,Nepali,0.9586428670883179,0.4408798812627792,0.5342320188611902,0.24369197598219344,2.4553388751182355,2.8860478036739767,4000,686844
oci,Occitan,0.7370239832401275,0.41223708748817445,0.3048170413226238,0.16201724132345338,4.6926144685713025,4.700014398415832,4000,30299
que,Quechua,1.2057170243263244,0.5034701029062271,0.5211188387813777,0.21376578578717834,2.9263259706166,3.3526256231114977,4000,296076
yor,Yoruba,1.1507901711528803,0.5019671906824825,0.6038484866888071,0.2657864025858077,3.7861976677202955,4.141056819468858,2352,138897
zgh,Tamazight,0.6565631947517395,0.39230481851100923,1.451740534528522,0.8964644656600913,6.771355988676247,7.62351247720711,4000,85508
